Mike Ogrysko
java SortComparison "ran50.dat" "NMS5ran50out.dat"
Reading "ran50.dat" and writing to "NMS5ran50out.dat"
Running a Natural MergeSort
MergeSort: Comparing 30 to 6
MergeSort: Swapping 30 and 6
MergeSort: Comparing 30 to 8
MergeSort: Swapping 30 and 8
MergeSort: Comparing 30 to 9
MergeSort: Swapping 30 and 9
MergeSort: Comparing 30 to 10
MergeSort: Swapping 30 and 10
MergeSort: Comparing 30 to 11
MergeSort: Swapping 30 and 11
MergeSort: Comparing 30 to 12
MergeSort: Swapping 30 and 12
MergeSort: Comparing 30 to 14
MergeSort: Swapping 30 and 14
MergeSort: Comparing 30 to 15
MergeSort: Swapping 30 and 15
MergeSort: Comparing 30 to 16
MergeSort: Swapping 30 and 16
MergeSort: Comparing 30 to 18
MergeSort: Swapping 30 and 18
MergeSort: Comparing 30 to 19
MergeSort: Swapping 30 and 19
MergeSort: Comparing 30 to 20
MergeSort: Swapping 30 and 20
MergeSort: Comparing 30 to 21
MergeSort: Swapping 30 and 21
MergeSort: Comparing 30 to 22
MergeSort: Swapping 30 and 22
MergeSort: Comparing 30 to 23
MergeSort: Swapping 30 and 23
MergeSort: Comparing 30 to 24
MergeSort: Swapping 30 and 24
MergeSort: Comparing 30 to 25
MergeSort: Swapping 30 and 25
MergeSort: Comparing 30 to 26
MergeSort: Swapping 30 and 26
MergeSort: Comparing 30 to 27
MergeSort: Swapping 30 and 27
MergeSort: Comparing 30 to 28
MergeSort: Swapping 30 and 28
MergeSort: Comparing 30 to 31
MergeSort: Comparing 7 to 1
MergeSort: Swapping 7 and 1
MergeSort: Comparing 7 to 2
MergeSort: Swapping 7 and 2
MergeSort: Comparing 7 to 3
MergeSort: Swapping 7 and 3
MergeSort: Comparing 7 to 4
MergeSort: Swapping 7 and 4
MergeSort: Comparing 7 to 5
MergeSort: Swapping 7 and 5
MergeSort: Comparing 7 to 6
MergeSort: Swapping 7 and 6
MergeSort: Comparing 7 to 8
MergeSort: Comparing 13 to 1
MergeSort: Swapping 13 and 1
MergeSort: Comparing 13 to 2
MergeSort: Swapping 13 and 2
MergeSort: Comparing 13 to 3
MergeSort: Swapping 13 and 3
MergeSort: Comparing 13 to 4
MergeSort: Swapping 13 and 4
MergeSort: Comparing 13 to 5
MergeSort: Swapping 13 and 5
MergeSort: Comparing 13 to 6
MergeSort: Swapping 13 and 6
MergeSort: Comparing 13 to 7
MergeSort: Swapping 13 and 7
MergeSort: Comparing 13 to 8
MergeSort: Swapping 13 and 8
MergeSort: Comparing 13 to 9
MergeSort: Swapping 13 and 9
MergeSort: Comparing 13 to 10
MergeSort: Swapping 13 and 10
MergeSort: Comparing 13 to 11
